// Compost colors for growthcraft_cellar. You may add your own colors, change existing ones, or remove colors that aren't needed.
copper_ale_fluid_bucket, #b9a297
copper_lager_fluid_bucket, #ae9b8e
copper_wort_fluid_bucket, #d2c5a0
deep_copper_wort_fluid_bucket, #d2c5a0
grain, #deeaaa
grain_amber, #ffffff
grain_brown, #ffffff
grain_copper, #ffffff
grain_dark, #ffffff
grain_deep_amber, #ffffff
grain_deep_copper, #ffffff
grain_golden, #ffffff
grain_pale_golden, #ffffff
grape_purple, #f0f1f7
grape_red, #ffeedc
grape_seeds_purple, #fffeff
grape_seeds_red, #faf0ed
grape_seeds_white, #ffffff
grape_white, #d9e6b4
hops, #e3ffcc
hops_seeds, #ffffff
kindling, #ffdaae
potion_ale, #ffffff
potion_lager, #ffffff
potion_wine, #ffffff
yeast_bayanus, #ffffdd
yeast_bayanus_ethereal, #ffffdd
yeast_brewers, #ffffe7
yeast_brewers_ethereal, #ffffe7
yeast_ethereal, #ffffff
yeast_lager, #ffffff
yeast_lager_ethereal, #ffffff
