// Compost colors for cacao. You may add your own colors, change existing ones, or remove colors that aren't needed.
cacao_butter_bottle, #fbfae3
cacao_mass_bottle, #a49aa2
cacao_mass_bucket, #988480
cacao_mass_filled_cloth, #ffebd9
cacao_nibs, #663a1b
caramel_dark_chocolate, #98612c
caramel_milk_chocolate, #c87937
caramel_white_chocolate, #ffffb9
chocolate_cake, #be5b23
cocoa_powder, #8c4630
coconut_dark_chocolate, #835a44
coconut_milk_chocolate, #bc7854
coconut_white_chocolate, #ffffe3
cookie_cream_dark_chocolate, #805843
cookie_cream_milk_chocolate, #b27250
cookie_cream_white_chocolate, #ffffd2
dark_chips_chocolate_cookie, #6b3e0f
dark_chocolate, #61331b
dark_chocolate_covered_apple, #69371c
filter_cloth, #ffffff
golden_chocolate, #ffc03c
manual_food_grinder, #fce7d3
milk_chocolate, #a0522a
milk_chocolate_covered_apple, #a8582f
mixed_nuts_dark_chocolate, #683318
mixed_nuts_milk_chocolate, #9d4e25
mixed_nuts_white_chocolate, #ffffbb
nutella, #cdb5a7
peanut_butter_dark_chocolate, #784422
peanut_butter_milk_chocolate, #a75c2d
peanut_butter_white_chocolate, #ffffb2
praline_dark_chocolate, #7f4626
praline_milk_chocolate, #ac5c33
praline_white_chocolate, #fff0ac
pressed_cocoa_cone, #87432f
silicon_dust, #e1edf7
silicon_mold, #b6c6d4
strawberry_cream_dark_chocolate, #824737
strawberry_cream_milk_chocolate, #b46143
strawberry_cream_white_chocolate, #ffffcd
white_chips_chocolate_cookie, #90612c
white_chips_cookie, #ffbf6c
white_chocolate, #ffffd4
white_chocolate_covered_apple, #ffffcd
